SO_line,CustomerNo,SalesOrderNo,CustomerName,LineKey,ItemCode,ItemCodeDesc,SO Header,PROM DATE,UDF_MATERIALS_CLEAR_DATE,EXP DATE,Exp DATE,Qty,QuantityShipped,UnitPrice,Production Notes,QtyOnHand,RMANumber,DropShip,Comments
0016053_000001,IBM,0016053,IBM,000001,198500001262-00,"IBM 16GB DDR4-2666, ECC, DIMM",3/29/2021,3/29/2021,3/29/2021,4/5/2021,4/5/2021,60,0,111,"PSP - rto, IBM CELL, NS - IBM",0,,00,IBM CELL
0016479_000001,ECRIN,0016479,Ecrin Systems,000001,26-504590-001,"8GB DDR4-2400 DIMM, Reg., ECC,",4/2/2021,4/2/2021,3/29/2021,4/5/2021,4/5/2021,4,0,146,NS (SOH 4/2/2021),301,,00,KITTING
0016479_000002,ECRIN,0016479,Ecrin Systems,000002,92-822803800000,HDB8228-CST,4/2/2021,4/2/2021,3/29/2021,4/5/2021,4/5/2021,2,0,722,NS (SOH 4/2/2021),0,,00,KITTING
0016479_000003,ECRIN,0016479,Ecrin Systems,000003,26-504590-003,"32GB DDR4-2400 DIMM, Reg., ECC",4/2/2021,4/2/2021,3/29/2021,4/5/2021,4/5/2021,8,0,428,NS (SOH 4/2/2021),23,,00,KITTING
0016479_000005,ECRIN,0016479,Ecrin Systems,000005,92-8225207C017A,"HEP E5-2680v4, IPMI, 14CHT 2.4",4/2/2021,4/2/2021,3/29/2021,4/5/2021,4/5/2021,2,0,5337,"26-004846-486, 13-508218-000, 26-000263-093 4 stk, DP WA 2/10 (SOH 4/2/2021)",0,,00,"KITTING, IPMI REWORK"
0016505_000001,IDEALAE,0016505,Ideal Aerosmith,000001,262500004164-00,TRC4008 TKL8255 6615 860W 2x 4,4/5/2021,2/18/2021,3/29/2021,4/5/2021,4/5/2021,1,0,5450,"PSP 110500001066-01 stk, **124500001001-00, 111500001780-00 TS/DP (SOH 4/5/2021)",2,,00,"QA, BURN-IN, WIP, KITTING"
0016505_000002,IDEALAE,0016505,Ideal Aerosmith,000002,263500001471-00,"HDD 1TB 2.5"" 7mm Seagate Barra",4/5/2021,2/18/2021,3/29/2021,4/5/2021,4/5/2021,1,0,80,PSP NS  (SOH 4/5/2021),10,,00,"QA, BURN-IN, KITTING"
0016505_000003,IDEALAE,0016505,Ideal Aerosmith,000003,198500001016-00,"Slide Rails 24-30"" w/Bracket,",4/5/2021,2/18/2021,3/29/2021,4/5/2021,4/5/2021,1,0,100,PSP NS  (SOH 4/5/2021),0,,00,"QA, BURN-IN, KITTING"
0016505_000004,IDEALAE,0016505,Ideal Aerosmith,000004,267500001004-00,USB Keyboard and Mouse,4/5/2021,2/18/2021,3/29/2021,4/5/2021,4/5/2021,1,0,30,PSP NS  (SOH 4/5/2021),13,,00,"QA, BURN-IN, KITTING"
0016505_000005,IDEALAE,0016505,Ideal Aerosmith,000005,260500001112-00,"Monitor, 24"" LCD, LED Backligh",4/5/2021,2/18/2021,2/22/2021,4/5/2021,4/5/2021,1,0,300,PSP NS  (SOH 4/5/2021),6,,00,"QA, BURN-IN, KITTING"
0016339_000003,SCIENG,0016339,Science & Engineering Services,000003,263500001523-00,"960GB SSD 883 DCT Samsung 2.5""",2/10/2021,12/21/2020,4/5/2021,4/6/2021,4/6/2021,6,0,307,Moved out - approved to ship seperate by Sales,1,,00,MOVED OUT - USED SSD's FOR OTHER ORDER - SHIP WHEN MORE STOCK ARRIVES
0016611_000001,CAPTECG,0016611,Captec Ltd,000001,92-815000900000,BPG8150-CSC,4/13/2021,4/13/2021,3/17/2021,4/7/2021,4/7/2021,1,0,936,"PSP - rto , NS",2,,00,KITTING
0016289_000003,TRIMAP,0016289,TriMap International,000003,92-662000400000,BPX6620 EPS,3/26/2021,3/26/2021,3/29/2021,4/8/2021,4/8/2021,100,0,896,92-506620-004 TS/NY (SOH 3/26/2021) UC,0,,00,
0016484_000002,ELESIA,0016484,Elesia S.p.A.,000002,262500001673-01,"TRC3001 3U, MB (No GPU)",4/9/2021,4/9/2021,4/1/2021,4/8/2021,4/8/2021,1,0,5405,PSP NS (SOH 4/9/2021),0,,00,"BURN-IN, WIP, KITTING"
0016508_000001,CORPCOM,0016508,Corporate Computer Centers,000001,262500004222-00,TRC5004 BXT7059 8032 1200W,4/8/2021,2/18/2021,4/1/2021,4/8/2021,4/8/2021,2,0,12650,"PSP 264500001400-00, 92-507059-002, 26-004846-473, DP WA 2-16 (SOH 4/8/2021)",0,,00,"BURN-IN, WIP, KITTING"
0016517_000002,RUDOLPH,0016517,Onto Innovation Inc.,000002,26-504580-001,"8GB DDR4-2133 DIMM, Reg., ECC",4/8/2021,4/8/2021,4/2/2021,4/8/2021,4/8/2021,9,0,141,NS (SOH 4/8/2021),390,,00,
0016181_000001,L3COMNJ,0016181,"L3 Technologies, Inc. - Camden",000001,198500001079-00,TSB+32GB(4X8GB)+Dev,11/24/2020,11/24/2020,3/19/2021,4/9/2021,4/9/2021,300,0,2292,"92-507053-000, 75-507053-C33A, 26-504550-002, 28-008146-001, 13-008147-000, 69-008125-000 TS/DP WA  10/16 (SOH 11/24/2020)",0,,00,"ON HOLD - ECO NEEDED, WIP & THERMAL TESTING - RECEIVING PCA's DAILY, KITTING 15 PC'S FOR  PROTO FOR THERMAL TEST RUN, L3 CAMDEN - SPECIAL THERMAL PROCESS REQUIRED - SHIP PARTIALS"
0016569_000001,VSAT,0016569,ViaSat Inc,000001,262500003926-00,"MiniPC, i3-8100T, 240GB SSD",4/8/2021,3/9/2021,4/5/2021,4/12/2021,4/12/2021,6,0,1574,"110500002131-01 use -002, 26-004846-566, DP WA 3/9 (SOH 4/8/2021)",0,,00,"BO ON CPU's, PREP, KITTING"
0016569_000002,VSAT,0016569,ViaSat Inc,000002,198500002113-00,KIT MINIPC Mounting 2PC Horizo,4/8/2021,3/9/2021,4/5/2021,4/12/2021,4/12/2021,6,0,47,NS (SOH 4/8/2021),0,,00,"WIP, KITTING"
0016518_000001,RUDOLPH,0016518,Onto Innovation Inc.,000001,26-504580-001,"8GB DDR4-2133 DIMM, Reg., ECC",4/21/2021,4/21/2021,4/12/2021,4/13/2021,4/13/2021,20,0,141,NS (SOH 4/21/2021),390,,00,
