SO_line,CustomerNo,SalesOrderNo,CustomerName,LineKey,ItemCode,ItemCodeDesc,SO Header,PROM DATE,UDF_MATERIALS_CLEAR_DATE,EXP DATE,Exp DATE,Qty,QuantityShipped,UnitPrice,Production Notes,QtyOnHand,RMANumber,DropShip,Comments
0016289_000003,TRIMAP,16289,TriMap International,3,92-662000400000,BPX6620 EPS,3/26/2021,3/26/2021,3/29/2021,4/8/2021,4/16/2021,100,64,896,PSP 92-506620-004 TS/NY (SOH 3/26/2021) UC,0,,0,"WIP, KITTING, SHIP PARTIALS"
0016589_000004,TRENSYS,16589,Trenton Systems,4,162500001017-00,"TRC1503-C001, Sanmina SDS0120-",3/9/2021,1/1/2021,4/1/2021,12/31/2021,4/16/2021,4,0,0,"PSP Sanmina KANBAN, PN SDS0120-32908-00",0,,0,"WIP, KANBAN ORDER - BUILD TO STOCK PROGRAM"
0016464_000001,IBM,16464,IBM,1,198500001208-00,IBM FRU 12V charger,5/6/2021,4/1/2021,4/5/2021,4/19/2021,4/19/2021,100,26,137,IBM,0,,0,"IBM CELL, KITTING"
0016585_000001,MATERIA,16585,"Material Handling Systems, Inc",1,262500002427-00,TRC3001 3U MB i78700K,4/14/2021,3/15/2021,4/13/2021,4/20/2021,4/20/2021,3,0,4800,"110500001074-00, 268500001055-00, 126500001170-00, 264500002455-00, 193500001170-00 TS/DP WA 3/19 (SOH 4/14/2021)",0,,0,"BURN-IN, 1 FAILED GPU, WIP, KITTING, EXPEDITED"
0016585_000002,MATERIA,16585,"Material Handling Systems, Inc",2,/C,Default Item Code /C,4/14/2021,,4/13/2021,,4/20/2021,0,0,0,Best Date > (SOH 4/14/2021),0,,0,
0016411_000001,RUDOLPH,16411,Onto Innovation Inc.,1,262500003624-00,"(TRS3500) 3U, MB",3/4/2021,1/21/2021,3/1/2021,3/8/2021,4/21/2021,1,0,4250,"110500001074-00, 26-004846-461, 263500001145-01 TS/DP WA 1/20 (SOH 3/31/2021) No BD",0,,0,"BURN-IN, WIP, KITTING, CUST APPROVED TO SHIP AS-IS, ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016413_000001,RUDOLPH,16413,Onto Innovation Inc.,1,262500003624-00,"(TRS3500) 3U, MB",3/31/2021,1/21/2021,3/15/2021,3/31/2021,4/21/2021,9,0,4250,"110500001074-00, 26-004846-461, 263500001145-01 TS/DP WA 1/20 (SOH 3/31/2021) No BD",0,,0,"BURN-IN, WIP, KITTING, CUST APPORVED TO SHIP AS-IS, ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016413_000003,RUDOLPH,16413,Onto Innovation Inc.,3,263500001145-01,"HDD, 1TB, 2.5"", SATA III, 7200",3/31/2021,1/21/2021,3/15/2021,3/31/2021,4/21/2021,8,0,85,263500001145-01 DP WA 1/20 (SOH 3/31/2021) No BD,70,,0,"KITTING, CUSTOMER APPROVED TO SHIP AS-IS"
0016417_000001,RUDOLPH,16417,Onto Innovation Inc.,1,198500001190-00,"X10DRI-T, E5-2620v4, 16GB, KIT",3/31/2021,3/31/2021,3/23/2021,3/31/2021,4/21/2021,5,0,2050,26-004846-490 DP WA 1/20 (SOH 3/31/2021) No BD,0,,0,"KITTING, ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
0016446_000001,RUDOLPH,16446,Onto Innovation Inc.,1,198500001190-00,"X10DRI-T, E5-2620v4, 16GB, KIT",4/1/2021,4/1/2021,3/31/2021,4/1/2021,4/23/2021,5,0,2050,"264500001243-00, 26-004846-490, DP WA 2/1 (SOH 4/1/2021)",0,,0,"KITTING, ON HOLD - CUST REPORTED VIDEO ISSUE – NO ESD, RE-EVAL ESD WHEN APPROVED TO SHIP"
