SO_line,CustomerNo,SalesOrderNo,CustomerName,LineKey,ItemCode,ItemCodeDesc,SO Header,PROM DATE,UDF_MATERIALS_CLEAR_DATE,EXP DATE,Exp DATE,Qty,QuantityShipped,UnitPrice,Production Notes,QtyOnHand,RMANumber,DropShip,Comments
0016572_000001,DAKTRON,16572,"Daktronics, Inc.",1,262500002478-00,TRC5005 TKL8255 8194 1550W,4/30/2021,3/10/2021,4/23/2021,4/30/2021,4/30/2021,9,0,6050,"26-004846-527, 111500001147-02, 111500001144-01 TS/DP WA 3/9 (SOH 4/30/2021)",1,,0,"QA, BURN-IN, WIP, KITTING"
0016576_000003,ECRIN,16576,Ecrin Systems,3,26-504590-001,"8GB DDR4-2400 DIMM, Reg., ECC,",4/30/2021,4/30/2021,4/22/2021,4/30/2021,4/30/2021,4,0,146,NS (SOH 4/30/2021),241,,0,
0016576_000004,ECRIN,16576,Ecrin Systems,4,26-504590-003,"32GB DDR4-2400 DIMM, Reg., ECC",4/30/2021,4/30/2021,4/22/2021,4/30/2021,4/30/2021,8,0,428,NS (SOH 4/30/2021),15,,0,
0016598_000001,ECRIN,16598,Ecrin Systems,1,92-825507200000,TKL E3-1275v6,4/30/2021,4/30/2021,4/23/2021,4/30/2021,4/30/2021,1,0,1450,26-004846-527 DP WA 3/18 (SOH 4/30/2021),0,,0,KITTING
0016635_000004,EMETCOM,16635,Emet OEM Computing Ltd.,4,92V705980400000,BXTS E5-2450v2 8CHT 2.5 No Vi,6/28/2021,4/1/2021,4/21/2021,4/30/2021,4/30/2021,5,0,3499,"**92-507059-002 LT UC - NY reviewing , 26-004846-456, 115500001005-00 TS/DP (SOH 6/28/2021)",0,,0,EXPEDITED
0016647_000001,EMETCOM,16647,Emet OEM Computing Ltd.,1,92-708700800000,BPG7087 CST,4/30/2021,4/30/2021,4/19/2021,4/30/2021,4/30/2021,17,0,917,NS (SOH 4/19/2021),1,,0,KITTING
0016669_000001,IDEALAE,16669,Ideal Aerosmith,1,262500004164-00,TRC4008 TKL8255 6615 860W 2x 4,6/7/2021,4/8/2021,4/6/2021,4/14/2021,4/30/2021,2,0,5250,Best Date > PSP NS,2,,0,"ON HOLD - BY SALES, BURN-IN, WIP, KITTING - EXPEDITED"
0016669_000002,IDEALAE,16669,Ideal Aerosmith,2,HW-WINDOWS-10,Honeywell ASTI Windows 10,6/7/2021,4/8/2021,4/6/2021,4/14/2021,4/30/2021,2,0,200,Best Date > PSP NS,0,,0,"ON HOLD - BY SALES, BURN-IN, WIP, KITTING - EXPEDITED"
0016669_000003,IDEALAE,16669,Ideal Aerosmith,3,267500001004-00,USB Keyboard and Mouse,6/7/2021,4/8/2021,4/6/2021,4/14/2021,4/30/2021,2,0,30,Best Date > PSP NS,34,,0,"ON HOLD - BY SALES, BURN-IN, WIP, KITTING - EXPEDITED"
0016669_000004,IDEALAE,16669,Ideal Aerosmith,4,263500001165-00,"500GB,2.5"",SATA3,7200RPM,32MB,",6/7/2021,4/8/2021,4/6/2021,4/14/2021,4/30/2021,2,0,70,Best Date > PSP NS,14,,0,"ON HOLD - BY SALES, BURN-IN, WIP, KITTING - EXPEDITED"
0016669_000005,IDEALAE,16669,Ideal Aerosmith,5,198500001015-00,"Slide Rails 20-26"" w/Bracket,",6/7/2021,4/8/2021,4/6/2021,4/14/2021,4/30/2021,2,0,100,Best Date > PSP NS,1,,0,"ON HOLD - BY SALES, BURN-IN, WIP, KITTING - EXPEDITED"
0016669_000006,IDEALAE,16669,Ideal Aerosmith,6,260500001112-00,"Monitor, 24"" LCD, LED Backligh",6/7/2021,4/8/2021,4/6/2021,4/14/2021,4/30/2021,2,0,300,Best Date > PSP NS,12,,0,"ON HOLD - BY SALES, BURN-IN, WIP, KITTING - EXPEDITED"
0016669_000007,IDEALAE,16669,Ideal Aerosmith,7,264500002136-00,Likely EOL - 4 Port USB 3.0 PC,6/7/2021,4/8/2021,4/6/2021,4/14/2021,4/30/2021,2,0,50,Best Date > PSP NS,2,,0,"ON HOLD - BY SALES, BURN-IN, WIP, KITTING - EXPEDITED"
0016669_000008,IDEALAE,16669,Ideal Aerosmith,8,198500001235-00,DVD Kit for Honeywell,6/7/2021,4/8/2021,4/6/2021,4/14/2021,4/30/2021,2,0,50,Best Date > PSP NS,0,,0,"ON HOLD - BY SALES, BURN-IN, WIP, KITTING - EXPEDITED"
0016562_000002,OXFORDQ,16562,Oxford Quantum Circuits Ltd.,2,262500004035-00,"TRC5004 5U, 8255, 8032",4/30/2021,3/5/2021,4/26/2021,5/3/2021,5/3/2021,2,0,7400,26-004846-502 DP WA 3/9 (SOH 4/30/2021),0,,0,KITTING
0016562_000003,OXFORDQ,16562,Oxford Quantum Circuits Ltd.,3,262500005017-00,THS5087 PED8234 8231 1500W,4/30/2021,3/5/2021,4/26/2021,5/3/2021,5/3/2021,1,0,7907,"111500001144-01, 124500001001-00, 153500001038-00, 264500002145-00 stk TS/DP WA 3/9 (SOH 4/30/2021)",0,,0,KITTING
0016577_000001,ECRIN,16577,Ecrin Systems,1,92-822803800000,HDB8228-CST,5/3/2021,5/3/2021,4/29/2021,5/3/2021,5/3/2021,2,0,722,NS (SOH 5/3/2021),0,,0,KITTING
0016577_000003,ECRIN,16577,Ecrin Systems,3,92-8225207C017A,"HEP E5-2680v4, IPMI, 14CHT 2.4",5/3/2021,5/3/2021,4/29/2021,5/3/2021,5/3/2021,2,0,5337,"26-004846-486, 26-000263-093 TS/DP WA 3/9 (SOH 5/3/2021)",0,,0,ATTENTION - IPMI REWORK - QTY 2
0016608_000001,HARRCOR,16608,"L3Harris Technologies, Inc.",1,262500003569-00,"TRC2005 8219, TSB, 650W PMBUS",5/3/2021,3/16/2021,4/27/2021,5/3/2021,5/3/2021,2,0,7341,"26-004846-428, 263500001151-00 DP WA 3/19 (SOH 5/3/2021)",0,,0,KITTING
0016661_000001,TRIMAP,16661,TriMap International,1,92-705310400000,TSB i7-3770 4CHT 3.4,5/3/2021,5/3/2021,4/28/2021,5/3/2021,5/3/2021,10,0,1550,26-004846-427 DP WA 4/7 (SOH 5/3/2021),0,,0,
0016661_000002,TRIMAP,16661,TriMap International,2,26-504550-002,"8GB DDR3-1600 DIMM, UNBUFF, EC",5/3/2021,5/3/2021,4/28/2021,5/3/2021,5/3/2021,10,0,75,NS (SOH 5/3/2021),628,,0,
0016661_000003,TRIMAP,16661,TriMap International,3,92-701500500000,IOB33HJX,5/3/2021,5/3/2021,4/28/2021,5/3/2021,5/3/2021,10,0,135,NS (SOH 5/3/2021),0,,0,
0016661_000004,TRIMAP,16661,TriMap International,4,93-505443-006,"Serial w/o Bracket - 15""",5/3/2021,5/3/2021,4/28/2021,5/3/2021,5/3/2021,20,0,0,93-505443-006 NY UC,18,,0,
0016661_000005,TRIMAP,16661,TriMap International,5,93-505444-006,"Parallel w/o Bracket - 15""",5/3/2021,5/3/2021,4/28/2021,5/3/2021,5/3/2021,10,0,0,NS (SOH 5/3/2021),23,,0,
0016550_000001,CUSTOMS,16550,Custom Systems Integration Inc,1,262500003860-00,TRC4014 4U TSB7053 6600 860W,5/5/2021,3/2/2021,4/27/2021,5/4/2021,5/4/2021,2,0,5692,"92-507053-000, 264500001299-00 TS/DP WA 2/28 (SOH 5/5/2021)",0,,0,KITTING
0016639_000001,DAKTRON,16639,"Daktronics, Inc.",1,262500002478-00,TRC5005 TKL8255 8194 1550W,4/29/2021,3/30/2021,4/27/2021,5/4/2021,5/4/2021,1,0,6050,"110500001068-00, 111500001061-01, 26-004846-527, 111500001147-02, 111500001144-01",1,,0,KITTING
0016679_000001,DEWES,16679,DEWESoft,1,262500003932-00,MiniPC i7-9700TE 32GB,5/13/2021,4/13/2021,4/27/2021,5/4/2021,5/4/2021,1,0,2426,"Best Date > 26-004846-563 stk, 26-504615-002, 263500001523-00, TS/DP WA 4/13 (SOH 5/13/2021)",0,,0,"BO ON MEMORY, KITTING"
0016520_000003,RUDOLPH,16520,Onto Innovation Inc.,3,263500001144-00,"DVD, SATA Slim Drive (Read Onl",5/5/2021,5/5/2021,4/30/2021,5/5/2021,5/5/2021,16,0,71,NS (SOH 5/5/2021),110,,0,
0016667_000001,L3COMM,16667,"L3 Technologies, Inc.",1,111500001007-00,Perforated I/O Bracket,5/6/2021,5/6/2021,5/3/2021,5/6/2021,5/6/2021,14,0,2,NS (SOH 5/6/2021),2445,,0,
0016547_000001,NORTHVA,16547,Northrop Grumman Corporation,1,262500002447-00,THS4086 TKL8255 6615 860W,5/5/2021,5/5/2021,4/30/2021,5/7/2021,5/7/2021,1,0,4650,124500001001-00 DP WA 2/28 (SOH 5/5/2021),0,,0,
0016622_000001,AMERRAI,16622,American Railway Technologies,1,92-825508800000,TKL i7-7700,5/24/2021,5/24/2021,5/3/2021,5/7/2021,5/7/2021,1,0,1807,Best Date > 26-004846-525 DP WA 3/19 (SOH 5/24/2021),0,,0,
0016622_000002,AMERRAI,16622,American Railway Technologies,2,92-815500700000,BPG8155 CRA,5/24/2021,5/24/2021,5/3/2021,5/7/2021,5/7/2021,1,0,1647,Best Date > NS (SOH 5/24/2021),0,,0,
0016622_000003,AMERRAI,16622,American Railway Technologies,3,26-504600-001,"8GB DDR4-2400 DIMM, Unbuff ECC",5/24/2021,5/24/2021,5/3/2021,5/7/2021,5/7/2021,1,0,71,Best Date > NS (SOH 5/24/2021),207,,0,
0016398_000002,L3COMM,16398,"L3 Technologies, Inc.",2,262500003076-00,"5U, 8225-018, 8237",5/11/2021,1/20/2021,4/30/2021,5/11/2021,5/11/2021,2,0,41270,"124500001001-00 Eng, 92-508225-200, 26-004846-458, TS/DP WA 1/1 (SOH 5/11/2021)",0,,0,
0016398_000003,L3COMM,16398,"L3 Technologies, Inc.",3,262500003072-00,"2U, 8225-618, 8227-038",5/11/2021,1/20/2021,4/30/2021,5/11/2021,5/11/2021,2,0,13086,"111500001740-03 AF, 124500001001-00 Eng, 193500001207-02, 107500001137-00, 193500001045-00, 92-508225-600 stk, 26-004846-458, 263500001487-00 TS/DP WA 1/1 (SOH 5/11/2021)",0,,0,
0016607_000001,RGBSPEC,16607,RGB Spectrum,1,268500001086-00,"PS, 1200W, MICRO REDUNDANT, 90",5/17/2021,5/17/2021,5/10/2021,5/11/2021,5/11/2021,2,0,725,NS (SOH 5/17/2021),54,,0,
0016603_000001,CAEUSAI,16603,CAE USA INC,1,262500003679-00,TRC3001 3U MB,5/13/2021,3/19/2021,5/6/2021,5/13/2021,5/13/2021,2,0,4321,"110500001074-00, 268500001055-00 TS (SOH 5/13/2021)",0,,0,
0016670_000001,TRANLIM,16670,Transduction Limited,1,92-8255022B009,TKL E3-1268Lv5 4CHT 2.3,4/30/2021,4/30/2021,5/10/2021,5/13/2021,5/13/2021,13,0,1364,Best Date > 26-004846-508 (SOH 4/30/2021),0,,0,
0016670_000002,TRANLIM,16670,Transduction Limited,2,26-504600-002,"16GB DDR4-2400 DIMM, Unbuff EC",4/30/2021,4/30/2021,5/10/2021,5/13/2021,5/13/2021,13,0,333,Best Date > NS (SOH 4/30/2021),1488,,0,
0016602_000001,SYSTERR,16602,Systerra Computer GmbH,1,194500001009-00,HDEC I/O HD Brkt LP(L3 Spare),5/14/2021,3/19/2021,5/10/2021,5/14/2021,5/14/2021,15,0,20,Best Date > NS (SOH 5/14/2021),0,,0,
0016602_000002,SYSTERR,16602,Systerra Computer GmbH,2,262500002421-00,THS4086 TKL8255 8155 800W,5/14/2021,3/19/2021,5/10/2021,5/14/2021,5/14/2021,2,0,5985,"Best Date > **124500001001-00, 26-004846-509, 26-504600-002, 111500001147-02 TS/DP WA 3/19 (SOH 5/14/2021)",0,,0,
0016339_000003,SCIENG,16339,Science & Engineering Services,3,263500001523-00,"960GB SSD 883 DCT Samsung 2.5""",2/10/2021,12/21/2020,4/30/2021,4/6/2021,5/17/2021,6,0,307,Moved out - approved to ship seperate by Sales,1,,0,MOVED OUT - USED SSD's FOR OTHER ORDER - SHIP WHEN MORE STOCK ARRIVES
0016593_000001,SOUTHWI,16593,Southwire Company,1,262500002683-00,"TSC4600, Q87MX, 550W",5/28/2021,3/17/2021,5/10/2021,5/17/2021,5/17/2021,1,0,1980,"Best Date > 264500001242-00, 26-004846-448 stk, 263500001486-00 TS/DP WA 3/19 (SOH 5/28/2021)",0,,0,KITTING
0016654_000001,MAQUILA,16654,"Maquila Services, LLC",1,264500001285-00,Intel I350-T4V2 Ethernet Serve,5/17/2021,5/17/2021,5/7/2021,5/17/2021,5/17/2021,1,0,375,NS (SOH 5/17/2021),17,,0,
0016601_000001,GREARIV,16601,"Great River Technology, Inc.",1,262500004211-00,TRC5004 BXT7059 8032 1200W,5/18/2021,5/18/2021,5/10/2021,5/18/2021,5/18/2021,4,0,8850,"92-507059-002 stk, 26-004846-414, 263500001082-00 DP WA 3/19 (SOH 5/18/2021)",0,,0,
0016609_000001,IDEALAE,16609,Ideal Aerosmith,1,262500004164-00,TRC4008 TKL8255 6615 860W 2x 4,5/18/2021,3/23/2021,5/7/2021,5/18/2021,5/18/2021,3,0,5250,"26-004846-525, 111500001147-02 TS/DP WA 3/19 (SOH 5/18/2021)",2,,0,
